,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,aungpyaeap/fish-market,Fish market,2KB,2019-06-13 10:20:33,45908,428,1.0
4,,datasets,nicapotato/womens-ecommerce-clothing-reviews,Women's E-Commerce Clothing Reviews,3MB,2018-02-03 19:59:19,53669,959,0.88235295
6,,datasets,uciml/electric-power-consumption-data-set,Household Electric Power Consumption,19MB,2016-08-23 17:02:15,22239,285,0.75
8,,datasets,redwankarimsony/heart-disease-data,UCI Heart Disease Data,12KB,2020-09-23 03:34:11,6385,63,0.9411765
10,,datasets,caesarlupum/vertebralcolumndataset,VertebralColumnDataSet,19KB,2020-01-09 03:53:16,963,47,1.0
12,,datasets,vikrishnan/iris-dataset,Iris Dataset,999B,2017-08-03 16:00:44,7754,46,0.7647059
14,,datasets,saurabhshahane/goalkeeper-actions-dataset,Goalkeeper Actions Dataset,17KB,2021-06-22 12:20:07,156,16,0.9411765
16,,datasets,krismurphy01/data-lab,Expanded HR Analytics Data Lab,528KB,2017-08-18 19:45:54,3898,82,0.88235295
18,,datasets,malekzadeh/motionsense-dataset,MotionSense Dataset : Smartphone Sensor Data - HAR,72MB,2018-03-15 20:50:21,9293,232,0.7647059
20,,datasets,gabbygab/fertility-data-set,Fertility Data Set,1KB,2018-08-30 09:57:51,2748,40,0.7352941
22,,datasets,viswajithkn/instacart-predict-shopping-time,Instacart Predict Shopping Time,12MB,2018-10-29 17:24:48,543,12,0.64705884
24,,datasets,faryarmemon/usa-housing-market-factors,U.S. Housing Market Factors,32KB,2022-08-03 02:19:31,1628,49,1.0
26,,datasets,sohommajumder21/appliances-energy-prediction-data-set,Appliances energy prediction Data Set,1MB,2021-06-12 02:45:24,828,21,1.0
28,,datasets,die9origephit/italian-earthquake-catalogue-1985-2020,Italian Earthquake Catalogue 1985 2020,5MB,2022-06-09 22:53:18,142,12,1.0
30,,datasets,debashis74017/stock-market-data-nifty-100-stocks-5-min-data,Stock Market Data - Nifty 100 stocks (5 min) data,5GB,2022-11-05 22:19:13,163,16,0.88235295
32,,datasets,faizunnabi/autism-screening,Autism Screening,7KB,2018-02-12 11:46:18,4886,109,0.75
34,,datasets,vivamoto/us-adult-income-update,Census Income Data Set,1MB,2019-12-18 21:04:29,1912,40,0.9411765
36,,datasets,alexhuggler/austin-zillow-houses-for-sale,Austin Zillow Houses for Sale,40KB,2022-11-17 01:06:53,27,7,0.9411765
38,,datasets,saurabhshahane/multivariate-geochemical-classification,Multivariate Geochemical classification,43KB,2021-02-17 09:13:18,294,15,0.88235295
40,,datasets,ishandutta/forest-fires-data-set-portugal,Forest Fires Data Set Portugal,7KB,2020-04-26 02:57:05,588,20,1.0
