,topic,set,ref,title,size,lastUpdated,downloadCount,voteCount,usabilityRating
2,,datasets,andonians/random-linear-regression,Linear Regression,8KB,2017-05-11 20:15:52,44898,466,0.8235294
4,,datasets,tanuprabhu/linear-regression-dataset,Linear Regression Data-set,1KB,2019-06-21 05:57:12,7523,68,1.0
8,,datasets,hellbuoy/car-price-prediction,Car Price Prediction Multiple Linear Regression,18KB,2019-10-15 16:45:27,38861,420,0.7058824
10,,datasets,karthickveerakumar/salary-data-simple-linear-regression,Salary data - Simple linear regression,378B,2018-01-22 17:09:38,39858,230,0.3529412
12,,datasets,kolawale/focusing-on-mobile-app-or-website,Linear Regression  E-commerce Dataset,43KB,2019-09-16 19:04:27,6173,51,0.625
14,,datasets,karthickveerakumar/startup-logistic-regression,Startup - Multiple Linear Regression,1KB,2018-01-29 11:42:03,6598,51,0.47058824
16,,datasets,quantbruce/real-estate-price-prediction,Real estate price prediction,7KB,2018-12-08 09:13:48,41692,343,0.47058824
18,,datasets,mayurdalvi/simple-linear-regression-placement-data,Simple Linear Regression - Placement data,4KB,2021-11-15 15:02:18,1418,24,1.0
20,,datasets,erolmasimov/price-prediction-multiple-linear-regression,Price Prediction -Multiple Linear Regression,6KB,2022-08-03 20:54:12,999,29,0.7647059
22,,datasets,tmcketterick/heights-and-weights,Heights and weights,262B,2018-01-06 21:42:20,6810,69,0.7058824
24,,datasets,dev0914sharma/car-purchasing-model,Car Purchasing Model,24KB,2021-04-30 15:59:08,2327,36,0.8235294
26,,datasets,nehalbirla/vehicle-dataset-from-cardekho,Vehicle dataset,227KB,2020-10-24 01:29:16,88063,720,1.0
28,,datasets,testpython/linear-regression,Linear regression,8KB,2018-03-18 12:51:45,1317,12,0.29411766
30,,datasets,dmvreddy91/usahousing,Linear regression,363KB,2017-10-10 18:34:48,2256,15,0.29411766
32,,datasets,shubham47/students-score-dataset-linear-regression,Students Score Dataset - Linear Regression,303B,2021-02-20 19:25:46,1593,17,0.5882353
34,,datasets,aungpyaeap/fish-market,Fish market,2KB,2019-06-13 10:20:33,45908,428,1.0
36,,datasets,himanshunakrani/student-study-hours,Student Study Hours,276B,2022-07-20 13:17:29,7039,151,1.0
38,,datasets,kratos2597/boom-bikes-linear-regression,Boom Bikes - Linear Regression,22KB,2022-01-14 14:21:01,343,17,0.64705884
40,,datasets,kashnitsky/mlcourse,mlcourse.ai,51MB,2018-12-09 16:45:09,35654,1518,0.88235295
