,topic,set,ref,title,author,lastRunTime,totalVotes
2,,kernels,paulorzp/gmean-of-low-correlation-lb-0-952x,GMEAN of low correlation (LB: 0.952x),Paulo Pinto,2019-09-19 01:22:33,225
4,,kernels,dbarkhorn/crypto-correlation,Crypto-Correlation,DanBarkhorn,2017-09-11 00:12:54,50
6,,kernels,jiweiliu/fast-pdf-calculation-with-correlation-matrix,Fast PDF calculation with correlation matrix,Jiwei Liu,2019-03-29 05:34:05,218
8,,kernels,bbloggsbott/feature-selection-correlation-and-p-value,Feature Selection - Correlation and P-value,Vishal R,2022-04-25 06:47:12,82
10,,kernels,wesamelshamy/high-correlation-feature-image-classification-conf,High Correlation Feature Image Classification Conf,Wesam Elshamy,2018-06-09 20:43:38,140
12,,kernels,ravichaubey1506/student-performance-correlation,Student Performance Correlation,Ravi Chaubey,2020-03-23 03:12:45,45
14,,kernels,selfishgene/filtering-and-auto-correlation-tutorial,Filtering and Auto-Correlation Tutorial,David Beniaguev,2018-01-05 22:15:02,69
16,,kernels,rm1000/improved-amex-rank-ensemble,IMPROVED AMEX Rank Ensemble,RM1000,2022-07-27 13:32:20,22
18,,kernels,rshah4/correlation-matrix-visualization,Correlation Matrix Visualization,Rajiv Shah,2015-07-28 00:13:41,26
20,,kernels,frtgnn/predictive-power-score-vs-correlation,Predictive Power Score vs Correlation,Firat Gonen,2020-04-25 21:06:07,85
22,,kernels,startupsci/titanic-data-science-solutions,Titanic Data Science Solutions,Manav Sehgal,2019-02-11 01:21:23,9431
24,,kernels,kiyoung1027/correlation-pearson-spearman-and-kendall,"""Correlation (Pearson Spearman and Kendall)""",Rooney,2019-12-31 00:30:13,26
26,,kernels,ryanholbrook/competition-metric-kendall-tau-correlation,Competition Metric - Kendall Tau Correlation,Ryan Holbrook,2022-05-15 10:19:50,58
28,,kernels,tpmeli/insights-correlation-analysis-of-192-features,Insights + Correlation Analysis of 192 Features,tpmeli,2021-07-08 15:46:24,108
30,,kernels,pmarcelino/comprehensive-data-exploration-with-python,Comprehensive data exploration with Python,"""Pedro Marcelino PhD""",2022-04-30 19:20:37,12859
32,,kernels,dedecu/cross-correlation-time-lag-with-pandas,Cross-correlation (time-lag) with pandas,André Araújo,2018-04-11 01:18:14,29
34,,kernels,chrisbss1/cramer-s-v-correlation-matrix,Cramer's V correlation matrix ,Christian D,2019-09-25 15:19:14,21
36,,kernels,jbomitchell/spearman-correlation-of-public-models,Spearman Correlation of Public Models,John Mitchell,2022-12-12 23:09:19,45
38,,kernels,joelwilson/election-correlation-matrix,Election Correlation Matrix,Joel Wilson,2017-01-04 18:37:22,16
40,,kernels,antmarakis/another-cleaned-data-blend-with-low-correlation,Another Cleaned Data Blend With Low Correlation,Antonis Maronikolakis,2018-03-16 00:49:30,34
